step,current_x,current_y,move_x,move_y,degree,Q,P,N,PUCT,is_best
37,6,4,7,6,4,-1.0,0.48178,482,-0.96844,1
37,6,4,5,2,2,-1.0,0.41025,410,-0.96842,0
37,6,4,7,2,3,-1.0,0.10797,108,-0.96866,0
38,7,6,9,7,1,-1.0,0.69638,697,-0.96843,1
38,7,6,8,8,3,-1.0,0.08036,80,-0.96861,0
38,7,6,6,8,3,-1.0,0.11209,112,-0.96862,0
38,7,6,8,4,2,-1.0,0.11117,111,-0.9686,0
39,9,7,8,9,2,-1.0,1.0,1000,-0.96839,1
40,8,9,6,8,2,-1.0,0.73461,735,-0.96842,1
40,8,9,7,7,2,-1.0,0.26539,265,-0.96843,0
41,6,8,4,9,2,-1.0,0.81465,815,-0.96841,1
41,6,8,4,7,5,-1.0,0.18535,185,-0.96847,0
42,4,9,2,8,4,-1.0,0.33218,332,-0.96844,0
42,4,9,3,7,2,-1.0,0.66782,668,-0.96842,1
43,3,7,2,9,2,-1.0,0.56554,566,-0.96844,1
43,3,7,1,6,2,-1.0,0.43446,434,-0.9684,0
44,2,9,1,7,3,-1.0,0.19193,192,-0.96854,0
44,2,9,4,8,3,-1.0,0.80807,808,-0.9684,1
45,4,8,6,9,2,-1.0,0.37508,375,-0.96844,0
45,4,8,2,7,1,-1.0,0.45586,456,-0.96844,1
45,4,8,6,7,3,-1.0,0.16905,169,-0.96854,0
46,2,7,3,5,3,-1.0,1.0,1000,-0.96839,1
47,3,5,4,7,4,-1.0,0.20562,205,-0.96842,0
47,3,5,1,6,1,-1.0,0.36369,364,-0.96847,0
47,3,5,2,3,0,-1.0,0.43069,431,-0.96846,1
1,2,2,4,3,6,-1.0,0.23356,233,-0.96842,0
1,2,2,3,4,5,-1.0,0.25555,256,-0.96854,0
1,2,2,0,3,3,-1.0,0.06505,65,-0.96882,0
1,2,2,0,1,2,-1.0,0.17708,177,-0.96853,0
1,2,2,3,0,2,-1.0,0.26876,269,-0.96851,1
2,3,0,5,1,5,-1.0,0.39732,397,-0.96842,0
2,3,0,1,1,3,-1.0,0.60268,603,-0.96843,1
3,1,1,3,2,7,-1.0,0.20793,208,-0.96852,0
3,1,1,2,3,4,-1.0,0.22562,225,-0.96842,0
3,1,1,0,3,2,-1.0,0.56645,567,-0.96845,1
4,0,3,2,4,6,-1.0,0.53469,535,-0.96844,1
4,0,3,1,5,3,-1.0,0.46531,465,-0.96841,0
5,2,4,4,5,4,-1.0,0.21099,211,-0.96851,0
5,2,4,3,6,5,-1.0,0.07484,75,-0.96884,0
5,2,4,1,6,4,-1.0,0.09154,91,-0.96852,0
5,2,4,1,2,4,-1.0,0.11733,117,-0.96854,0
5,2,4,3,2,6,-1.0,0.19208,192,-0.96851,0
5,2,4,4,3,5,-1.0,0.31321,314,-0.96854,1
6,4,3,5,5,5,-1.0,0.24882,249,-0.96851,0
6,4,3,3,5,4,-1.0,0.16671,166,-0.96842,0
6,4,3,3,1,3,-1.0,0.1609,161,-0.96858,0
6,4,3,5,1,4,-1.0,0.1618,162,-0.96859,0
6,4,3,6,2,6,-1.0,0.26177,262,-0.96851,1
7,6,2,8,3,4,-1.0,0.07023,70,-0.9687,0
7,6,2,7,4,6,-1.0,0.13197,132,-0.96861,0
7,6,2,5,4,4,-1.0,0.11195,112,-0.96866,0
7,6,2,5,0,2,-1.0,0.15967,160,-0.96862,0
7,6,2,7,0,3,-1.0,0.19651,196,-0.96844,0
7,6,2,8,1,2,-1.0,0.32967,330,-0.96849,1
8,8,1,9,3,2,-1.0,0.84505,845,-0.9684,1
8,8,1,7,3,3,-1.0,0.15495,155,-0.96857,0
9,9,3,7,4,5,-1.0,0.60241,603,-0.96844,1
9,9,3,7,2,5,-1.0,0.39759,397,-0.96839,0
10,7,4,9,5,2,-1.0,0.35138,352,-0.96851,1
10,7,4,8,6,5,-1.0,0.10532,105,-0.96856,0
10,7,4,5,5,4,-1.0,0.14019,140,-0.96854,0
10,7,4,5,3,5,-1.0,0.3162,316,-0.96844,0
10,7,4,8,2,4,-1.0,0.08691,87,-0.96875,0
11,9,5,8,7,3,-1.0,0.34305,343,-0.96845,0
11,9,5,8,3,3,-1.0,0.65695,657,-0.96841,1
12,8,3,7,5,7,-1.0,0.19323,193,-0.96849,0
12,8,3,7,1,3,-1.0,0.21736,217,-0.96845,0
12,8,3,9,1,2,-1.0,0.5894,590,-0.96845,1
13,9,1,7,2,4,-1.0,0.12806,128,-0.96859,0
13,9,1,7,0,2,-1.0,0.87194,872,-0.9684,1
14,7,0,8,2,3,-1.0,0.56909,569,-0.96841,1
14,7,0,5,1,3,-1.0,0.43091,431,-0.96844,0
15,8,2,9,4,3,-1.0,0.09098,91,-0.96871,0
15,8,2,6,3,6,-1.0,0.06133,61,-0.9687,0
15,8,2,9,0,1,-1.0,0.84768,848,-0.96841,1
16,9,0,7,1,2,-1.0,1.0,1000,-0.96839,1
17,7,1,6,3,5,-1.0,0.12496,125,-0.96862,0
17,7,1,5,0,1,-1.0,0.87504,875,-0.9684,1
18,5,0,3,1,2,-1.0,1.0,1000,-0.96839,1
19,3,1,2,3,3,-1.0,0.83726,838,-0.96843,1
19,3,1,1,2,3,-1.0,0.16274,162,-0.96841,0
20,2,3,4,4,6,-1.0,0.32608,326,-0.96845,0
20,2,3,3,5,3,-1.0,0.4148,415,-0.96845,1
20,2,3,1,5,2,-1.0,0.25912,259,-0.96847,0
21,3,5,5,6,5,-1.0,0.25975,260,-0.96851,0
21,3,5,1,6,3,-1.0,0.2467,246,-0.9684,0
21,3,5,5,4,3,-1.0,0.49355,494,-0.96845,1
22,5,4,7,5,6,-1.0,0.22786,228,-0.96852,0
22,5,4,3,3,4,-1.0,0.50034,500,-0.9684,1
22,5,4,7,3,2,-1.0,0.2718,272,-0.9685,0
23,3,3,4,5,3,-1.0,0.65502,656,-0.96846,1
23,3,3,2,5,5,-1.0,0.14833,148,-0.9685,0
23,3,3,1,2,2,-1.0,0.07417,74,-0.96871,0
23,3,3,2,1,3,-1.0,0.12248,122,-0.9685,0
24,4,5,3,7,5,-1.0,0.15362,153,-0.96844,0
24,4,5,2,6,2,-1.0,0.46888,469,-0.96844,1
24,4,5,5,3,4,-1.0,0.3775,378,-0.96849,0
25,2,6,3,8,3,-1.0,0.17245,172,-0.96846,0
25,2,6,3,4,4,-1.0,0.82755,828,-0.96842,1
26,3,4,5,5,3,-1.0,0.35933,360,-0.96851,1
26,3,4,1,5,1,-1.0,0.2362,236,-0.96847,0
26,3,4,1,3,4,-1.0,0.12713,127,-0.96858,0
26,3,4,5,3,3,-0.99999,0.27734,277,-0.96843,0
27,5,5,6,7,5,-1.0,0.24308,243,-0.96848,0
27,5,5,3,6,4,-1.0,0.29671,297,-0.9685,0
27,5,5,6,3,4,-1.0,0.46021,460,-0.96842,1
28,6,3,8,4,3,-1.0,0.26536,266,-0.96856,0
28,6,3,7,5,5,-1.0,0.13966,139,-0.96844,0
28,6,3,4,4,5,-0.99999,0.31403,314,-0.96845,1
28,6,3,5,1,2,-1.0,0.28096,281,-0.96848,0
29,4,4,6,5,5,-1.0,0.26599,266,-0.96848,1
29,4,4,5,6,4,-0.99999,0.26429,265,-0.96855,0
29,4,4,3,6,3,-1.0,0.1987,199,-0.96857,0
29,4,4,2,5,4,-1.0,0.13251,132,-0.96848,0
29,4,4,3,2,5,-1.0,0.13851,138,-0.96847,0
30,6,5,8,6,4,-1.0,0.05612,56,-0.96885,0
30,6,5,7,7,6,-1.0,0.09629,96,-0.96859,0
30,6,5,5,3,2,-0.99999,0.33528,336,-0.96851,1
30,6,5,7,3,1,-1.0,0.23219,232,-0.96847,0
30,6,5,8,4,2,-0.99999,0.28012,280,-0.96845,0
31,5,3,3,2,4,-1.0,0.5091,509,-0.96842,1
31,5,3,7,2,3,-0.99997,0.4909,491,-0.9684,0
32,3,2,1,3,3,-1.0,0.14584,146,-0.96861,0
32,3,2,2,0,2,-1.0,0.19821,198,-0.96849,0
32,3,2,4,0,1,-1.0,0.25776,258,-0.96851,0
32,3,2,5,1,1,-1.0,0.39819,398,-0.96842,1
33,5,1,7,2,2,-1.0,1.0,1000,-0.96839,1
34,7,2,8,4,1,-1.0,0.96966,970,-0.9684,1
34,7,2,8,0,0,-1.0,0.03034,30,-0.96904,0
35,8,4,9,6,3,-1.0,1.0,1000,-0.96839,1
36,9,6,8,8,2,-1.0,0.64789,648,-0.96841,1
36,9,6,7,7,5,-1.0,0.144,144,-0.96858,0
36,9,6,7,5,4,-1.0,0.20811,208,-0.96849,0
37,8,8,6,9,1,-1.0,0.82789,828,-0.9684,1
37,8,8,6,7,4,-1.0,0.17211,172,-0.96852,0
38,6,9,7,7,4,-1.0,1.0,1000,-0.96839,1
39,7,7,9,8,2,-1.0,0.15508,155,-0.96855,0
39,7,7,8,9,1,-1.0,0.7216,722,-0.96842,1
