step,current_x,current_y,move_x,move_y,degree,Q,P,N,PUCT,is_best
23,4,8,6,7,5,0.0,0.27273,136,0.04456,0
24,3,6,2,8,3,-0.00746,0.29598,134,0.04161,1
24,3,6,1,7,4,-0.00901,0.22199,111,0.03535,0
24,3,6,1,5,5,0.0,0.17759,94,0.04184,0
24,3,6,2,4,5,0.0,0.17759,94,0.04184,0
24,3,6,4,4,7,0.0,0.12685,67,0.04175,0
25,2,8,0,9,1,0.0,0.65217,346,0.04207,1
25,2,8,0,7,3,-0.01099,0.21739,91,0.0419,0
25,2,8,4,7,5,-0.01587,0.13044,63,0.02974,0
26,0,9,1,7,3,0.0,1.0,500,0.04468,1
27,1,7,3,8,4,0.0,0.33333,167,0.04441,0
27,1,7,0,5,3,0.0,0.44444,222,0.04461,1
27,1,7,2,5,6,0.0,0.22222,111,0.04441,0
28,0,5,2,6,7,0.0,0.22222,111,0.04441,0
28,0,5,1,3,4,0.0,0.38889,195,0.04441,1
28,0,5,2,4,4,0.0,0.38889,194,0.04464,0
29,1,3,3,4,6,0.0,0.16129,81,0.04403,0
29,1,3,2,5,5,0.0,0.19355,97,0.04421,0
29,1,3,0,1,2,0.0,0.48387,242,0.04457,1
29,1,3,3,2,6,0.0,0.16129,80,0.04457,0
30,0,1,2,2,7,0.0,0.22222,111,0.04441,0
30,0,1,2,0,2,0.0,0.77778,389,0.04464,1
31,2,0,4,1,5,0.0,0.5,250,0.04459,1
31,2,0,3,2,5,0.0,0.5,250,0.04459,0
32,4,1,6,2,7,0.0,0.14151,71,0.04399,0
32,4,1,5,3,6,0.0,0.16509,83,0.04399,0
32,4,1,3,3,5,0.0,0.19811,99,0.04434,0
32,4,1,2,2,6,0.0,0.16509,82,0.04452,0
32,4,1,6,0,3,0.0,0.33019,165,0.04452,1
33,6,0,8,1,3,0.0,0.47619,238,0.0446,1
33,6,0,7,2,5,0.0,0.28571,143,0.04441,0
33,6,0,5,2,6,0.0,0.2381,119,0.04441,0
34,8,1,9,3,3,0.0,0.47619,238,0.0446,1
34,8,1,7,3,5,0.0,0.28571,143,0.04441,0
34,8,1,6,2,6,0.0,0.2381,119,0.04441,0
35,9,3,8,5,4,0.0,0.375,188,0.04441,1
35,9,3,7,4,6,0.0,0.25,125,0.04441,0
35,9,3,7,2,4,0.0,0.375,187,0.04465,0
36,8,5,7,7,4,0.0,0.30882,155,0.04431,1
36,8,5,6,6,7,0.0,0.17647,88,0.04438,0
36,8,5,6,4,6,0.0,0.20588,103,0.04431,0
36,8,5,7,3,4,0.0,0.30882,154,0.0446,0
37,7,7,9,8,2,0.0,0.45454,227,0.04462,1
37,7,7,5,8,5,0.0,0.18182,91,0.04424,0
37,7,7,5,6,5,0.0,0.18182,91,0.04424,0
37,7,7,6,5,5,0.0,0.18182,91,0.04424,0
38,9,8,7,9,3,-0.00329,0.625,304,0.04258,1
38,9,8,8,6,5,0.0,0.375,196,0.04261,0
39,7,9,5,8,4,0.0,0.33333,175,0.04239,1
39,7,9,6,7,4,0.0,0.33333,174,0.04263,0
